"Ano Mes.Ano Mes";FEIJAO/COMUM CORES/AC/Preco Medio Comercializado;FEIJAO/COMUM CORES/AL/Preco Medio Comercializado;FEIJAO/COMUM CORES/AM/Preco Medio Comercializado;FEIJAO/COMUM CORES/BA/Preco Medio Comercializado;FEIJAO/COMUM CORES/CE/Preco Medio Comercializado;FEIJAO/COMUM CORES/DF/Preco Medio Comercializado;FEIJAO/COMUM CORES/ES/Preco Medio Comercializado;FEIJAO/COMUM CORES/GO/Preco Medio Comercializado;FEIJAO/COMUM CORES/MG/Preco Medio Comercializado;FEIJAO/COMUM CORES/MS/Preco Medio Comercializado;FEIJAO/COMUM CORES/MT/Preco Medio Comercializado;FEIJAO/COMUM CORES/PB/Preco Medio Comercializado;FEIJAO/COMUM CORES/PE/Preco Medio Comercializado;FEIJAO/COMUM CORES/PR/Preco Medio Comercializado;FEIJAO/COMUM CORES/RO/Preco Medio Comercializado;FEIJAO/COMUM CORES/RR/Preco Medio Comercializado;FEIJAO/COMUM CORES/SC/Preco Medio Comercializado;FEIJAO/COMUM CORES/SE/Preco Medio Comercializado;FEIJAO/COMUM CORES/SP/Preco Medio Comercializado;FEIJAO/COMUM CORES/TO/Preco Medio Comercializado
"JAN-2014";163.58;160.64;202.82;87.38;160.0;75.0;79.0;80.21;94.08;87.14;93.99;154.72;140.29;77.83;139.42;119.9;74.6;90.08;90.02;203.56
"FEV-2014";157.9;161.25;185.94;87.98;160.0;132.0;80.0;97.46;115.03;92.26;76.8;154.53;138.57;85.22;141.55;120.0;74.07;80.0;96.54;110.73
"MAR-2014";181.2;170.0;181.33;106.17;160.0;120.0;102.5;111.15;139.48;98.6;76.79;155.23;145.36;103.92;143.87;120.0;81.87;75.5;118.25;112.8
"ABR-2014";180.0;162.5;195.08;114.42;160.0;108.43;111.25;107.78;117.81;89.42;81.85;154.88;158.93;103.01;;120.5;82.06;78.33;128.01;117.38
"MAI-2014";196.0;162.0;202.63;119.07;123.0;110.0;105.0;97.46;115.3;85.69;90.79;153.14;158.86;84.47;;122.0;64.97;80.0;120.5;120.25
"JUN-2014";200.0;171.25;187.99;98.55;103.75;108.75;90.0;87.64;93.58;71.86;84.74;153.88;138.57;70.49;79.05;122.0;57.24;;111.01;112.0
"JUL-2014";200.0;170.0;174.78;83.97;105.0;75.61;97.5;86.92;88.41;57.89;69.69;145.08;135.54;65.35;75.89;122.33;55.65;;92.37;92.75
"AGO-2014";194.0;170.0;170.19;76.82;120.0;63.0;86.0;76.75;82.33;55.27;69.81;141.84;125.29;59.5;80.06;123.0;50.98;;84.19;81.86
"SET-2014";167.63;170.0;164.51;69.99;120.0;72.5;80.0;74.82;76.03;54.93;73.31;129.14;108.36;58.21;50.0;123.33;40.0;56.75;71.69;75.23
"OUT-2014";166.84;158.0;168.68;70.43;136.0;78.0;82.0;85.53;84.62;57.52;81.74;117.07;108.43;63.17;;123.6;40.0;55.5;73.19;78.27
"NOV-2014";166.84;143.75;164.94;72.21;116.25;76.25;100.0;89.9;84.05;57.52;88.84;120.77;108.86;66.6;;125.75;40.0;58.75;80.51;87.69
"DEZ-2014";165.5;131.25;173.99;105.06;120.0;127.5;147.5;142.09;84.05;55.63;143.08;117.42;125.07;107.71;;125.19;40.0;83.75;119.43;96.54
"JAN-2015";160.58;133.0;178.68;119.22;121.68;162.0;151.0;155.2;160.31;73.75;163.14;118.98;156.57;142.81;;124.05;67.76;105.0;154.58;119.74
"FEV-2015";160.52;155.0;188.6;133.23;125.94;164.38;140.0;160.56;173.11;92.97;169.36;121.47;181.79;141.85;;124.38;138.74;110.0;156.52;120.0
"MAR-2015";160.52;170.0;183.29;130.03;125.75;130.0;140.0;153.49;172.58;126.56;179.78;121.47;190.0;138.51;;125.25;133.32;123.75;159.41;120.0
"ABR-2015";170.91;168.75;194.07;125.2;125.75;130.0;132.5;131.68;172.58;85.53;178.43;121.47;186.79;123.08;;125.63;122.5;115.0;159.41;123.3
"MAI-2015";208.3;179.0;202.39;126.05;125.75;121.0;130.0;132.53;140.0;89.65;141.77;;190.0;113.43;;128.4;111.87;112.0;137.04;97.3
"JUN-2015";211.04;158.75;203.66;132.75;126.64;110.0;135.0;137.24;141.25;108.97;119.35;;183.93;113.07;;129.75;99.74;120.0;104.6;76.25
"JUL-2015";205.92;151.0;200.0;141.56;129.31;116.67;118.0;135.18;141.19;99.88;120.6;;174.57;116.84;150.0;131.05;96.03;;102.0;72.0
"AGO-2015";160.7;150.0;195.0;113.4;129.31;125.0;120.0;115.9;127.92;91.31;108.2;;169.82;107.24;;132.71;95.96;;148.66;70.0
"SET-2015";151.83;150.0;200.0;126.96;129.31;132.5;120.0;128.09;132.87;98.97;119.68;;158.35;120.69;;133.88;96.74;114.5;156.65;70.0
"OUT-2015";135.45;155.0;182.0;128.34;131.82;128.0;128.0;123.35;130.99;96.9;125.41;153.0;152.75;127.5;;135.0;96.64;119.6;157.3;128.32
"NOV-2015";;;180.0;146.12;140.88;155.0;140.0;163.7;146.94;107.75;139.95;156.0;177.5;141.71;;;116.57;157.5;158.17;131.05
"DEZ-2015";;;182.38;164.68;150.0;180.0;160.0;205.59;174.5;;166.59;;;160.5;;;136.64;;162.29;135.5
"JAN-2016";;;187.93;194.01;153.07;200.0;164.4;206.4;200.93;;182.01;;240.0;168.46;;;143.95;;166.76;151.28
"FEV-2016";;;192.68;193.75;157.7;197.5;195.0;209.77;203.48;;199.58;;250.0;186.63;;;159.66;;170.27;170.7
"MAR-2016";;;200.0;203.75;157.73;;200.0;201.8;218.33;197.5;;;;185.44;;;175.65;;175.1;180.0
"ABR-2016";;;230.0;244.0;157.74;;200.0;231.17;230.29;220.0;;;;198.29;;;189.52;;170.0;180.0
"MAI-2016";;;235.0;271.25;157.76;;257.5;276.48;;220.0;212.37;250.0;;230.84;;;196.96;;170.32;183.75
"JUN-2016";;;352.0;497.0;;;424.4;495.82;520.89;355.0;;339.0;;395.39;390.0;;341.18;;189.38;402.5
"JUL-2016";;;405.0;400.0;;;471.25;377.11;409.16;;;567.39;;391.85;450.0;;382.5;;379.35;452.5
"AGO-2016";;500.0;420.0;375.41;;;340.0;355.64;375.79;;341.46;516.0;;373.22;390.0;;340.0;350.0;385.1;412.0
"SET-2016";;477.77;465.0;349.94;;;372.5;313.04;323.14;;340.39;408.75;;345.81;;;320.0;336.25;;320.0
"OUT-2016";;450.0;480.0;242.1;;;250.0;216.02;236.57;;268.66;396.0;;251.29;;;250.0;218.75;275.02;275.0
"NOV-2016";;;376.0;202.59;;;250.0;182.6;183.1;180.27;222.34;;;202.36;;;186.43;214.0;262.4;
