"Ano Mes.Ano Mes";FEIJAO/COMUM PRETO/ES/Preco Medio Comercializado;FEIJAO/COMUM PRETO/GO/Preco Medio Comercializado;FEIJAO/COMUM PRETO/PR/Preco Medio Comercializado;FEIJAO/COMUM PRETO/RJ/Preco Medio Comercializado;FEIJAO/COMUM PRETO/RS/Preco Medio Comercializado;FEIJAO/COMUM PRETO/SC/Preco Medio Comercializado
"JAN-2014";179.2;129.38;127.54;167.01;125.12;122.41
"FEV-2014";180.42;129.38;124.66;168.81;127.35;120.37
"MAR-2014";187.5;156.08;138.61;176.92;136.61;125.08
"ABR-2014";199.0;157.5;140.34;174.44;137.62;132.29
"MAI-2014";187.8;153.8;121.86;156.68;118.12;121.41
"JUN-2014";150.83;150.0;96.35;141.51;100.69;93.41
"JUL-2014";130.83;130.0;94.51;146.6;111.54;87.94
"AGO-2014";122.0;133.25;96.37;150.0;104.84;88.02
"SET-2014";111.17;128.75;95.42;140.0;103.06;88.53
"OUT-2014";116.0;137.0;94.78;140.0;103.41;89.18
"NOV-2014";117.58;138.19;96.78;140.0;109.47;89.34
"DEZ-2014";120.42;146.56;107.17;140.0;109.07;89.29
"JAN-2015";133.67;158.81;129.19;140.0;113.25;106.6
"FEV-2015";148.08;153.56;129.56;156.79;120.73;115.5
"MAR-2015";142.08;153.56;125.03;155.31;128.22;119.15
"ABR-2015";148.17;142.19;118.49;145.75;128.2;110.94
"MAI-2015";150.0;134.25;100.44;140.49;107.16;101.38
"JUN-2015";138.13;126.35;89.02;134.71;103.55;92.96
"JUL-2015";113.0;129.0;88.58;128.14;93.01;87.02
"AGO-2015";104.38;126.06;88.97;131.79;81.41;86.9
"SET-2015";118.75;134.38;95.7;129.25;79.23;87.61
"OUT-2015";135.5;139.0;105.34;138.93;88.15;92.1
"NOV-2015";128.88;147.19;111.24;137.74;88.99;94.94
"DEZ-2015";153.08;154.06;124.3;136.89;101.66;99.55
"JAN-2016";150.5;174.5;140.57;156.07;124.68;124.97
"FEV-2016";157.5;170.63;151.86;179.2;149.08;138.02
"MAR-2016";160.0;166.56;146.76;185.0;156.01;137.48
"ABR-2016";167.0;162.25;147.71;185.0;152.31;132.48
"MAI-2016";187.5;193.75;151.41;183.75;152.01;145.57
"JUN-2016";256.44;254.5;194.29;254.5;160.44;183.48
"JUL-2016";313.13;312.5;223.56;267.5;177.0;212.93
"AGO-2016";299.0;294.0;220.67;274.0;182.07;203.62
"SET-2016";321.25;290.0;225.26;276.88;174.04;198.51
"OUT-2016";363.75;282.5;222.28;276.25;213.21;198.22
"NOV-2016";357.0;268.0;218.56;266.2;209.92;198.16
"DEZ-2016";327.5;267.5;199.51;255.0;220.68;198.6
"JAN-2017";275.0;227.5;161.57;236.25;180.26;179.64
"FEV-2017";236.25;190.63;127.39;176.25;172.68;131.87
"MAR-2017";156.0;177.5;130.07;163.0;154.33;127.98
"ABR-2017";165.0;;128.15;160.0;146.63;127.23
"MAI-2017";193.48;;127.43;166.26;120.32;124.17
"JUN-2017";225.0;;139.59;179.82;126.69;127.54
"JUL-2017";172.5;;127.66;174.76;129.05;125.82
"AGO-2017";149.13;;113.8;160.09;123.24;123.47
"SET-2017";135.24;;112.05;154.43;120.93;122.88
"OUT-2017";132.5;;113.87;154.45;118.86;116.75
"NOV-2017";140.0;;111.13;149.68;115.05;124.87
"DEZ-2017";133.75;;106.85;144.71;101.31;120.0
"JAN-2018";120.0;;103.27;140.0;103.23;114.84
"FEV-2018";138.33;;117.39;141.2;111.45;120.56
"MAR-2018";134.55;;107.93;148.0;113.57;117.5
"ABR-2018";135.0;;105.97;145.0;117.47;111.28
"MAI-2018";127.5;;119.05;149.87;123.39;118.35
"JUN-2018";140.98;;117.45;157.22;124.18;121.68
"JUL-2018";126.25;;113.81;152.5;124.19;120.43
"AGO-2018";144.13;;115.44;150.05;124.17;120.05
"SET-2018";156.25;;125.22;155.63;127.89;121.72
"OUT-2018";142.63;;129.02;160.0;135.85;123.01
"NOV-2018";150.55;;126.8;162.27;129.11;122.81
"DEZ-2018";152.5;;130.56;160.0;132.35;124.91
"JAN-2019";162.22;;166.26;151.52;148.2;137.2
"FEV-2019";182.0;;250.57;150.0;200.87;155.72
"MAR-2019";234.22;;157.67;;181.25;153.73
"ABR-2019";233.75;;134.3;;164.61;152.5
"MAI-2019";214.13;;114.78;;147.38;128.04
"JUN-2019";160.0;;116.74;;127.36;114.18
"JUL-2019";152.39;;113.93;;125.86;116.05
"AGO-2019";144.09;;115.05;;128.97;117.03
"SET-2019";141.25;;121.04;;128.61;117.43
"OUT-2019";137.79;;124.2;150.0;135.34;117.44
"NOV-2019";144.86;;129.42;172.5;136.05;118.61
"DEZ-2019";143.41;;135.45;162.5;141.9;126.24
"JAN-2020";165.44;;122.57;165.0;140.7;127.39
"FEV-2020";169.38;;128.81;173.0;138.62;124.49
"MAR-2020";182.82;;157.31;173.0;151.89;140.27
"ABR-2020";168.41;;203.21;220.0;177.16;180.35
"MAI-2020";205.24;;223.88;293.0;196.63;207.16
"JUN-2020";248.75;;216.73;250.0;207.9;217.27
"JUL-2020";325.97;;194.76;250.0;216.41;182.78
"AGO-2020";265.4;;230.86;250.0;229.98;178.61
"SET-2020";329.16;;248.5;290.0;241.54;190.57
"OUT-2020";357.26;;257.05;300.0;259.77;233.75
"NOV-2020";332.68;;260.35;300.0;234.79;230.73
"DEZ-2020";361.72;;291.69;315.0;267.06;249.61
"JAN-2021";336.67;;273.38;300.0;269.72;276.41
"FEV-2021";355.0;;304.44;344.0;302.9;281.34
"MAR-2021";300.0;;289.44;300.0;309.09;282.99
"ABR-2021";302.05;;256.46;307.5;267.82;260.46
"MAI-2021";300.0;;268.82;287.5;281.29;262.73
"JUN-2021";300.0;;240.35;275.0;226.85;232.51
"JUL-2021";303.41;;236.78;275.0;225.1;229.78
"AGO-2021";318.75;;247.4;287.5;250.7;229.92
"SET-2021";325.0;;248.23;283.75;222.76;230.46
"OUT-2021";328.57;;231.78;271.65;225.61;230.05
"NOV-2021";325.0;;228.11;270.0;228.75;230.39
"DEZ-2021";269.7;;232.88;270.0;236.61;231.67
"JAN-2022";240.0;;280.07;250.0;264.25;245.48
"FEV-2022";300.0;;276.85;340.0;281.84;286.66
"MAR-2022";300.0;;283.36;335.0;289.1;289.19
"ABR-2022";300.0;;246.88;325.0;259.89;260.49
"MAI-2022";300.0;;202.21;290.0;224.08;213.27
"JUN-2022";345.0;;192.26;300.0;212.41;191.98
"JUL-2022";342.65;;179.2;246.66;209.35;182.76
"AGO-2022";332.5;;177.89;251.65;206.99;181.5
"SET-2022";332.5;;181.72;260.0;213.13;180.5
"OUT-2022";292.5;;194.83;270.0;218.4;180.36
"NOV-2022";301.36;;215.19;270.0;216.92;182.06
"DEZ-2022";320.46;;255.49;320.0;289.21;212.57
"JAN-2023";327.28;;277.49;330.0;287.29;268.15
"FEV-2023";344.25;;262.78;300.0;298.08;263.13
"MAR-2023";378.26;;266.58;326.67;274.57;250.13
"ABR-2023";322.5;;260.97;327.5;293.62;248.75
"MAI-2023";296.09;;204.08;280.0;230.04;214.22
"JUN-2023";270.0;;206.22;270.0;198.11;197.85
"JUL-2023";315.5;;218.9;235.0;230.92;209.11
"AGO-2023";305.18;;226.96;250.0;254.33;209.97
"SET-2023";309.19;;226.47;255.0;245.31;211.09
"OUT-2023";300.0;;237.98;278.33;227.35;215.49
"NOV-2023";262.42;;286.83;312.5;228.93;233.88
"DEZ-2023";258.27;;307.05;330.0;342.37;299.9
"JAN-2024";363.85;;331.83;320.0;336.25;331.04
"FEV-2024";361.29;;344.95;320.0;316.93;347.36
"MAR-2024";316.66;;284.38;320.0;325.1;301.74
"ABR-2024";294.5;;202.42;320.0;281.61;218.66
